"title","channel","likes"
"Luis Fonsi - Despacito ft. Daddy Yankee","LuisFonsiVEVO","50788652"
"Luis Fonsi - Despacito ft. Daddy Yankee","LuisFonsiVEVO","50788626"
"Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack","Wiz Khalifa Music","40147674"
"Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack","Wiz Khalifa Music","40147618"
"BTS (방탄소년단) 'Dynamite' Official MV","HYBE LABELS","35892575"
"Ed Sheeran - Shape of You (Official Music Video)","Ed Sheeran","31047780"
"BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV","HYBE LABELS","27588224"
"BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV","HYBE LABELS","27588189"
"Alan Walker - Faded","Alan Walker","26446178"
"PSY - GANGNAM STYLE(강남스타일) M/V","officialpsy","26399133"
