"title","channel","comments"
"BTS (방탄소년단) 'Dynamite' Official MV","HYBE LABELS","16083138"
"BTS (방탄소년단) 'Butter' Official MV","HYBE LABELS","9131761"
"BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV","HYBE LABELS","6535721"
"BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV","HYBE LABELS","6535719"
"PSY - GANGNAM STYLE(강남스타일) M/V","officialpsy","5331537"
"BLACKPINK - 'How You Like That' M/V","BLACKPINK","5130725"
"Justin Bieber - Baby ft. Ludacris","JustinBieberVEVO","4805805"
"Luis Fonsi - Despacito ft. Daddy Yankee","LuisFonsiVEVO","4252791"
"Luis Fonsi - Despacito ft. Daddy Yankee","LuisFonsiVEVO","4252791"
"BLACKPINK - ‘Pink Venom’ M/V","BLACKPINK","3637659"
